DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000078	1	1	591	1	6	4			1				1	1	1	2	1	1	2										1	1	2	2	2	1	2	1	1	2	1		2	2		1	6	3204166.66666667	3204166.66666667	534027.777777778	0	50000781	2781.5815927798
5000080	1	1	591	1	3	2						1	1	1	1	1	1	1	1		1		1	1					2	1	2	1	2	1	2	1	1	1	1		2	2		2	3	3459000	3459000	1153000	0	50000801	2217.53401064294
5000081	1	1	591	1	5	3			1				1	1	1	2	1	1	2										1	1	1	2	2	2	2	1	1	1	1		2	2		1	6	4310000	4310000	718333.333333333	0	50000811	1978.40613553537
5000082	1	1	591	1	3	2				1	1		1	1	1	1	1	1	2										1	1	1	2	2	1	2	1	1	1	1		2	2		2	2	500000	500000	250000	0	50000821	1478.10805792145
5000083	1	1	591	1	4	2				1	1		1	1	1	1	1	1	1			1	1	1					1	1	2	1	1	1	1	1	1	4	1		2	2		2	4	550000	550000	137500	0	50000831	2083.73875424328
5000084	1	1	591	1	4	2		1					1	1	2	1	1	1	2										1	1	2	2	2	1	2	1	1	1	1		2	2		1	3	1380000	1380000	460000	0	50000841	2028.22004201718
5000085	1	1	591	1	3	2			1				1	1	1	1	1	1	1		1			1					1	1	1	1	2	2	2	1	1	1	1		2	2		1	5	612500	612500	122500	0	50000851	2791.05658410234
5000086	1	1	591	1	5	3					1		1	1	1	2	1	1	2										1	1	2	2	2	2	2	1	1	1	1		2	2		1	5	4400000	4400000	880000	0	50000861	2535.36071542656
5000088	1	1	591	1	6	4						1	1	1	1	1	1	1	1		1	1		1					1	1	2	1	1	1	2	1	1	1	1		2	2		2	6	1558333.33333333	1558333.33333333	259722.222222222	0	50000881	1979.41915226355
5000089	1	1	591	1	3	2				1	1		1	1	1	1	1	1	2										1	1	2	2	2	2	2	1	1	1	1		2	2		2	2	1520000	1520000	760000	0	50000891	2343.47166193658
5000093	1	1	591	1	5	3				1	1		1	1	1	1	1	1	2										1	1	2	2	1	2	2	1	1	1	1		2	2		1	6	3670833.33333333	3670833.33333333	611805.555555556	0	50000931	2169.74613761749
5000094	1	1	591	1	5	4			1				1	1	1	1	1	1	2										1	1	2	2	2	1	2	1	1	1	1		2	2		1	12	3672666.66666667	3672666.66666667	306055.555555556	0	50000941	2302.95066279146
5000095	1	1	591	1	4	2			1				1	1	1	1	1	1	2										1	1	2	1	2	2	2	1	1	4	1		2	2		2	4	1783333.33333333	1783333.33333333	445833.333333333	0	50000951	1992.39705165698
5000096	1	1	591	1	4	2						1	1	1	1	1	1	1	2										1	1	2	1	2	1	2	1	1	4	1		2	2		2	3	1901000	1901000	633666.666666667	0	50000961	2217.53401064294
5000098	1	1	591	1	5	4				1	1		1	1	1	2	1	1	1		1			1					1	1	2	1	1	2	1	1	1	6	1		2	2		2	8	3562833.33333333	3562833.33333333	445354.166666667	0	50000981	2248.03760225228
5000099	1	1	591	1	4	3			1				1	1	1	2	1	1	1		1								1	1	2	1	2	2	2	1	1	1	1		2	2		1	3	6926666.66666667	6926666.66666667	2308888.88888889	0	50000991	1950.87124813487
5000100	1	1	591	1	2	1						1	2	1	1	1	1	1	2										1	1	2	2	2	2	2	1	1	1	3		4	2		2	2	2080000	2080000	1040000	0	50001001	2343.47166193658
5000101	1	1	591	1	5	3						1	1	1	1	1	1	1	2										1	1	2	1	2	1	2	1	1	1	1		2	2		1	5	650000	650000	130000	0	50001011	2621.18931947409
